id,domain_url,organization,resource_count,center_lat,center_long,center_zoom,address
204,opendata.fcgov.com,"City of Fort Collins, CO",NULL,40.581966,-105.083769,NULL,"424 W Mulberry St, Fort Collins, CO 80521"
205,opendata.howardcountymd.gov,"Howard County, MD",NULL,39.268523,-76.798393,NULL,"8360 Court Ave, Ellicott City, MD 21043"
206,opendata.lasvegasnevada.gov,"City of Las Vegas, NV",NULL,36.167364,-115.148431,NULL,"495 S Main St, Las Vegas, NV 89101"
207,opendata.miamidade.gov,"Miami-Dade County, FL",NULL,25.774656,-80.195150,NULL,"73 W Flagler St, Miami, FL 33128"
208,opendata.ramseycounty.us,"Ramsey County, MN",NULL,44.936127,-93.090619,NULL,"90 Plato Blvd W, St Paul, MN 55107"
209,opendata.usac.org,"Universal Service Administrative Company",NULL,38.899148,-77.028459,NULL,"700 12th St NW #900, Washington, DC 20005"
210,opendata.utah.gov,"State of Utah",NULL,40.778180,-111.888570,NULL,"350 State St Suite 200, Salt Lake City, UT 84114"
211,opengov.cityofdubuque.org,"City of Dubuque, MS",NULL,42.505144,-90.667876,NULL,"50 W 13th St, Dubuque, IA 52001"
212,openpaymentsdata.cms.gov,"Centers for Medicare & Medicaid Services",NULL,38.887510,-77.014100,NULL,"200 Independence Ave SW, Washington, DC 20201"
213,openperformance.ramseycounty.us,"Ramsey County, MN",NULL,44.936127,-93.090619,NULL,"90 Plato Blvd W, St Paul, MN 55107"
214,performance.adcogov.org,"Adams County, CO",NULL,39.923754,-104.812922,NULL,"4430 S Adams County Pkwy, Brighton, CO 80601"
215,performance.austintexas.gov,"City of Austin, TX",NULL,30.264717,-97.747294,NULL,"301 W 2nd St # 1120, Austin, TX 78701"
216,performance.carson.org,"Carson City, NV",NULL,39.201066,-119.785727,NULL,"1470 Medical Pkwy, Carson City, NV 89703"
217,performance.chattanooga.gov,"City of Chattanooga, TN",NULL,35.043650,-85.307380,NULL,"101 E 11th St, Chattanooga, TN 37402"
218,performance.ci.janesville.wi.us,"City of Janesville, WI",NULL,42.682086,-89.026769,NULL,"18 N Jackson St, Janesville, WI 53548"
219,performance.cityofcamas.us,"City of Camas, WA",NULL,45.586736,-122.401800,NULL,"616 NE 4th Ave, Camas, WA 98607"
220,performance.cityofdavenportiowa.com,"City of Davenport, IA",NULL,41.524060,-90.582240,NULL,"600 W 4th St, Davenport, IA 52801"
221,performance.cityofrc.us,"City of Rancho Cucamonga, CA",NULL,34.103436,-117.574543,NULL,"10500 Civic Center Dr, Rancho Cucamonga, CA 91730"
222,performance.cookcountyil.gov,"Cook County, IL",NULL,NULL,NULL,NULL,NULL
223,performance.danvilleva.gov,"City of Danville, VA",NULL,NULL,NULL,NULL,NULL
224,performance.franklintn.gov,"City of Franklin, TN",NULL,NULL,NULL,NULL,NULL
